id,domain,requirement,implementation_files,proof_command,proof_artifact,status,blocker,next_action
C001,source integrity,"Canonical V197 and exact source authority remain immutable and fresh","scripts/check-v197-integrity.ts; docs/completion/CODEX_SOURCE_AUTHORITY.md","npm run v197:integrity","integrity command output",PARTIAL,"control matrix currently stamped from an older SHA","Regenerate and validate matrix on final tree without a self-invalidating SHA stamp"
C002,cold boot,"A clean candidate boots API worker scheduler web and demo","RUN_NUR.sh; infra/scripts/bootstrap-dev.sh; infra/scripts/start-nur.sh","bash RUN_NUR.sh disabled","healthz readyz process and seed output",PARTIAL,"not yet repeated from a fresh package at final SHA","Run fresh-extract package smoke"
C003,authentication,"Signup signin logout and session recovery work through V197","apps/api/app/api/v1/auth.py; apps/web/src/bridge/v197Auth.ts","pytest test_auth.py and Playwright fresh-signup plus presentation-auth-recovery","API and browser results",PASS,,"Keep in final gate"
C004,password recovery,"Forgot reset change and revocation are secure and deliverable","apps/api/app/api/v1/password_recovery.py; apps/api/app/services/password_delivery.py","pytest test_password_recovery.py","API test result",EXTERNAL_BLOCKED,"no production transactional email proof","Keep internal PASS and require one verified sender/provider action"
C005,sessions and CSRF,"Cookie sessions origin and CSRF rules protect mutations","apps/api/app/api/deps.py; apps/api/app/core/security.py","pytest test_auth.py test_rls.py","API test result",PASS,,"Keep in final gate"
C006,owner isolation and RLS,"Every owner domain fails closed across accounts under forced RLS","apps/api/app/db/rls.py; apps/api/alembic/versions","pytest test_rls.py plus domain cross-owner tests","API test result",PASS,,"Run again after every new migration"
C007,Talk and OpenAI,"Talk uses server-side OpenAI and proves two genuine replies without key exposure","apps/api/app/api/v1/cognition.py; apps/api/app/cognition","node infra/scripts/live-talk-two-turn-proof.mjs","live Talk proof",EXTERNAL_BLOCKED,"local completion worktree has no approved live provider proof","Run only with existing valid local credential; never copy or rotate"
C008,streaming cancellation persistence,"SSE ordering cancel idempotency and reload hydration are durable","apps/api/app/cognition/streaming.py; apps/web/src/bridge/v197StreamClient.ts","pytest test_cognition_streaming.py and Playwright talk-persistence.spec.ts","API and trace artifacts",PARTIAL,"full real-stack browser test and cancellation race not green","Fix current failures and add cancellation-race proof"
C009,Today,"Owner check-in actions and returns hydrate after reload","apps/api/app/api/v1/living.py; apps/web/src/bridge/v197Hydration.ts","pytest test_sol_living_system.py and Playwright visual-readiness.spec.ts","API and browser results",PASS,,"Keep in final gate"
C010,Journal,"Journal creation conversion and hydration are real","apps/api/app/api/v1/cognition.py; apps/web/src/bridge/v197Actions.ts","pytest test_cognition.py and Playwright control matrix","API and browser results",PASS,,"Keep in final gate"
C011,Plan,"Plans steps make-easier and edit direction have complete honest behavior","apps/api/app/api/v1/cognition.py; apps/web/src/bridge/v197Hydration.ts","pytest test_product_surfaces.py and Playwright track-a-sellable.spec.ts","API and browser results",PARTIAL,"edit direction is visible honest-disabled","Implement the owner edit flow or remove the obsolete control"
C012,Systems,"Exactly six current Systems have owner data diagnostics actions returns and brain field","apps/api/app/living; apps/web/src/bridge/v197Hydration.ts","pytest test_sol_living_system.py and Playwright visual-readiness.spec.ts","API and browser results",PASS,,"Remove stale seven-System tests without restoring retired product state"
C013,Map,"Map has distinct spatial identity and owner-backed nodes and paths","apps/api/app/api/v1/map.py; apps/web/src/bridge/v197Hydration.ts","pytest test_sol_contract_routes.py and Playwright universe-lenses.spec.ts","API and browser results",PASS,,"Refresh stale fixture names"
C014,Orbits,"Orbits has distinct nested dependency identity and owner data","apps/api/app/api/v1/orbits.py; apps/web/src/bridge/v197Hydration.ts","pytest test_live_intelligence.py and Playwright universe-lenses.spec.ts","API and browser results",PASS,,"Keep in final gate"
C015,Timeline,"Timeline has distinct temporal progression and owner actions","apps/api/app/api/v1/timeline.py; apps/web/src/bridge/v197Hydration.ts","pytest test_sol_contract_routes.py and Playwright universe-lenses.spec.ts","API and browser results",PASS,,"Keep in final gate"
C016,Insights,"Insights exposes claims confidence contradictions review and correction","apps/api/app/api/v1/insights.py; apps/web/src/bridge/v197Hydration.ts","pytest test_live_intelligence.py and Playwright universe-lenses.spec.ts","API and browser results",PASS,,"Keep in final gate"
C017,Research,"Research supports evidence-first jobs sources provenance corrections and safe provider failure","apps/api/app/api/v1/group_research.py; apps/api/app/api/v1/product_surfaces.py","pytest test_group_research_completion.py","API result",PARTIAL,"live retrieval and complete job UI absent","Finish provider-neutral UI and retain external fetch blocker"
C018,Web Signals,"Watchlists alerts notes freshness and captures have a complete owner surface","apps/api/app/api/v1/product_surfaces.py; apps/web/src/bridge/v197Hydration.ts","pytest test_product_surfaces.py","API result",PARTIAL,"alert management and live retrieval UI incomplete","Finish local owner workflows then keep provider fail-closed"
C019,Community,"Bounded social product includes people saved moderation discovery and realtime where in scope","apps/api/app/api/v1/community*.py; apps/web/src/bridge/v197Adjuncts.ts","pytest test_community_completion.py and Playwright community-group-nur.spec.ts","API and browser results",PARTIAL,"future tabs and realtime gateway incomplete","Port bounded current-compatible realtime and finish or hide deferred routes"
C020,Rooms,"Members messages posts comments reactions and revisions enforce membership","apps/api/app/api/v1/community.py; apps/api/app/api/v1/community_social.py","pytest test_community_completion.py and Playwright community-group-nur.spec.ts","API and browser results",PASS,,"Keep in final gate"
C021,Group NUR,"Council positions decisions and syntheses persist minority context","apps/api/app/api/v1/group_research.py; apps/web/src/bridge/v197Actions.ts","pytest test_group_nur.py test_group_research_completion.py","API result",PASS,,"Keep in final gate"
C022,Consultations,"Stages contributions and outcomes are bounded and owner scoped","apps/api/app/api/v1/consultations.py; apps/web/src/bridge/v197Adjuncts.ts","pytest test_consultations.py and Playwright v197-adjuncts.spec.ts","API and browser results",PASS,,"Keep in final gate"
C023,Projects,"Project CRUD and all intended tabs form one coherent owner workspace","apps/api/app/api/v1/projects.py; apps/web/src/bridge/v197Adjuncts.ts","pytest test_am_projects.py and Playwright project-deliverables.spec.ts","API and browser results",PARTIAL,"settings insights and share tabs are not complete","Finish or honestly remove each placeholder"
C024,tasks,"Project tasks persist state and owner-scoped updates","apps/api/app/api/v1/projects.py; apps/web/src/bridge/v197Adjuncts.ts","pytest test_am_projects.py and Playwright project-deliverables.spec.ts","API and browser results",PASS,,"Keep in final gate"
C025,files,"Upload download checksum quarantine verify and delete are owner scoped","apps/api/app/services/object_storage.py; apps/api/app/api/v1/projects.py","pytest test_am_project_storage.py test_storage_hygiene.py and project E2E","API and browser results",PASS,,"Keep in final gate"
C026,agent runs,"Agent proposals require explicit approval bounded capability and recoverable execution","apps/api/app/services/project_execution.py; apps/web/src/bridge/v197Adjuncts.ts","pytest test_am_project_execution.py test_am_project_recovery.py","API result",PARTIAL,"capability breadth and full browser recovery proof limited","Finish bounded registry and evidence package UI without autonomy claims"
C027,Context Capsules,"Owner can select scope representation recipient expiry review create audit revoke and delete","apps/api/app/api/v1/capsules.py; apps/web/src/bridge/v197Adjuncts.ts","pytest test_capsules.py and Playwright capsule.spec.ts","API and browser results",PARTIAL,"recipient lifecycle exists but owner creation flow is missing","Build canonical owner workflow and two-account denial proof"
C028,Personal Memory,"Owner can list search inspect provenance correct retire delete and export memory","apps/api/app/api/v1/memory.py","pytest test_personal_memory.py","API result",PARTIAL,"no reachable canonical V197 surface","Add Memory adjunct route controls bridge and E2E"
C029,Teach NUR,"Owner can submit scoped evidence review accept reject correct and version teaching","apps/api/app/learning","pytest test_teach_nur.py","API result",PARTIAL,"no reachable canonical V197 surface","Add Teach NUR adjunct route controls bridge and E2E"
C030,Glow,"Server-confirmed actions drive owner progression rewards and abuse-safe operations","apps/api/app/api/v1/glow.py; apps/web/src/bridge/v197Adjuncts.ts","pytest test_notifications.py test_sol_living_system.py","API result",PARTIAL,"abuse experiment and operational proof incomplete","Add bounded abuse controls and current operational tests"
C031,Notifications,"In-app preferences quiet hours reminders delivery retry and dead-letter are complete","apps/api/app/api/v1/notifications.py; apps/web/src/bridge/v197Adjuncts.ts","pytest test_notifications.py","API result",PARTIAL,"external adapters retry dead-letter and bounce handling incomplete","Complete adapter queue contracts and keep provider proof external"
C032,translations and RTL,"Reviewed locale tiers fallback Roman Urdu native script RTL bidi and diagnostics are honest","apps/api/app/api/v1/translations.py; apps/web/src/bridge/v197I18n.ts","pytest test_translations.py and Playwright language plus accessibility specs","API and browser results",PARTIAL,"human review and extraction completeness unproven","Add extraction diagnostics and keep draft locales labeled"
C033,Billing and entitlements,"Plans entitlements checkout webhook portal cancellation refund status and failures have a real UI","apps/api/app/billing; apps/api/app/models/billing.py","pytest test_billing.py","API result",PARTIAL,"no V197 billing surface and no provider test-mode proof","Build provider-neutral V197 UI then run configured test provider"
C034,Omega,"Evidence claims contradictions predictions mistakes review provenance export delete and RLS are bounded","apps/api/app/omega; apps/web/src/bridge/v197Adjuncts.ts","pytest test_omega.py and Playwright omega-research.spec.ts","API and browser results",PASS,,"Run enabled Omega tests in final browser matrix"
C035,Neural Simulation and TRIBE,"Disabled local-research and licensed provider modes fail closed with provenance and warning","docs/integration/tribe-g17","text probe only","historical G17 evidence",MISSING,"no current product implementation and gated licence/access","Implement provider-neutral disabled contract and surface; never ship weights"
C036,backup and restore,"Database and objects restore from verified manifest with measured RPO and RTO","apps/api/app/services/dr.py; infra/scripts/dr-drill.sh","pytest test_dr.py and bash infra/scripts/dr-drill.sh","DR result",PARTIAL,"final exact-SHA realistic drill not executed","Run isolated final drill and record measurements"
C037,queue recovery,"Stale runs recover or dead-letter under bounded policy","apps/api/app/services/project_execution.py; apps/api/app/api/v1/ops.py","pytest test_am_project_recovery.py","API result",PARTIAL,"scheduled production operation unproven","Add scheduler invocation and runtime proof"
C038,storage hygiene,"Orphans retention checksums and deletion reconcile safely","apps/api/app/services/storage_hygiene.py","pytest test_storage_hygiene.py","API result",PARTIAL,"scheduled sweep evidence absent","Run final isolated reconciliation and retention proof"
C039,rate limits and quotas,"Per-owner route plan and provider budgets fail closed","apps/api/app/core/rate_limit.py; apps/api/app/services/ai_budget.py; apps/api/app/services/project_quota.py","pytest auth quota billing and provider tests","API result",PARTIAL,"coverage is not comprehensive across all costly mutations","Inventory routes and add missing limit tests"
C040,security headers,"API and web production edges enforce current security header policy","apps/api/app/main.py","pytest test_health.py and curl production-like responses","header evidence",PARTIAL,"HSTS and web-edge headers unproven","Add production-edge header gate"
C041,secret handling,"No keys are exposed and historical compromised keys are rotated","apps/api/app/core/config.py; infra/scripts/secret-scan.sh","npm run secret-scan","secret scan output",EXTERNAL_BLOCKED,"historical key rotation cannot be proven in repository","Founder verifies rotation; never print keys"
C042,accessibility,"All routes satisfy keyboard focus dialogs names states target exceptions contrast and reduced motion","apps/web/src/bridge/v197Accessibility.ts; apps/web/src/styles","Playwright accessibility and core-route specs plus axe audit","browser artifacts",PARTIAL,"full corpus stale and no complete axe or screen-reader run","Fix corpus then run desktop mobile RTL reduced-motion and manual AT audit"
C043,mobile,"Responsive PWA and intended native shell pass mobile engines and secure boundaries","apps/web; apps/mobile","npm run mobile:typecheck and Playwright Chromium mobile plus WebKit","mobile artifacts",PARTIAL,"full WebKit and native signing push secure-storage proof absent","Run browser matrix and classify external native credentials"
C044,performance,"One canvas one RAF deterministic teardown adaptive quality hidden pause and bounded soak hold","apps/web/src/bridge/v197StarBrain.ts; v197StarField.ts; v197PerformanceProfile.ts","Playwright performance CPU lifecycle and soak specs","CDP performance artifacts",PARTIAL,"stale assertions and final ten-minute CDP soak absent","Update current contracts then run measured final soak"
