"gate","requirements","PASS","PARTIAL","UNPROVEN","BACKEND_ONLY","MISSING","BLOCKED_EXTERNAL","FOUNDER_ACTION_REQUIRED","runner_verdict","evidence_run"
"G00_EVIDENCE","7","5","1","0","0","0","0","1","FOUNDER_ACTION_REQUIRED","evidence/20260724T225447Z"
"G01_STATIC","18","14","0","2","0","2","0","0","INCOMPLETE","evidence/20260724T225447Z"
"G02_AUTH","17","8","4","0","1","4","0","0","BLOCKED_EXTERNAL","evidence/20260724T225447Z"
"G03_V197","14","1","3","6","3","1","0","0","BLOCKED_EXTERNAL","evidence/20260724T225447Z"
"G04_PERFORMANCE","14","0","0","14","0","0","0","0","BLOCKED_EXTERNAL","evidence/20260724T225447Z"
"G05_LIVE_AI","14","6","4","1","0","1","2","0","FOUNDER_ACTION_REQUIRED","evidence/20260724T225447Z"
"G06_RECOVERY","8","2","3","1","0","1","1","0","FOUNDER_ACTION_REQUIRED","evidence/20260724T225447Z"
"G07_INTELLIGENCE","15","1","9","0","2","2","1","0","INCOMPLETE","evidence/20260724T225447Z"
"G08_REVENUE","12","0","5","1","0","5","1","0","FOUNDER_ACTION_REQUIRED","evidence/20260724T225447Z"
"G09_GLOW","16","0","12","0","0","4","0","0","INCOMPLETE","evidence/20260724T225447Z"
"G10_SYSTEMS","9","0","9","0","0","0","0","0","BLOCKED_EXTERNAL","evidence/20260724T225447Z"
"G11_LANGUAGE","13","0","5","3","0","4","0","1","FOUNDER_ACTION_REQUIRED","evidence/20260724T225447Z"
"G12_COMMUNITY","14","1","10","0","0","3","0","0","BLOCKED_EXTERNAL","evidence/20260724T225447Z"
"G13_GROUP_RESEARCH","10","0","7","0","0","2","1","0","BLOCKED_EXTERNAL","evidence/20260724T225447Z"
"G14_PROJECTS","14","0","11","0","0","3","0","0","BLOCKED_EXTERNAL","evidence/20260724T225447Z"
"G15_SCALE_OPS","21","0","10","3","0","7","1","0","FOUNDER_ACTION_REQUIRED","evidence/20260724T225447Z"
"G16_FULL_RELEASE","14","1","3","2","0","7","0","1","FOUNDER_ACTION_REQUIRED","evidence/20260724T225447Z"
