path,bytes,classification,reason,action
.dockerignore,257,KEEP_PRODUCT,runtime source migration configuration or operations code,retain
.env.example,2749,KEEP_PRODUCT,small repository-owned source or configuration,retain
.github/workflows/readiness.yml,2276,KEEP_PRODUCT,runtime source migration configuration or operations code,retain
.gitignore,405,KEEP_PRODUCT,runtime source migration configuration or operations code,retain
BUILD_WEEK_SUBMISSION.md,6608,KEEP_DURABLE_DOC,bounded product architecture security or release documentation,retain
COUSIN_RELEASE_STATUS.md,2211,KEEP_DURABLE_DOC,bounded product architecture security or release documentation,retain
COUSIN_START_HERE.md,793,KEEP_DURABLE_DOC,bounded product architecture security or release documentation,retain
DEMO_SCRIPT.md,1653,KEEP_DURABLE_DOC,bounded product architecture security or release documentation,retain
Makefile,649,KEEP_PRODUCT,small repository-owned source or configuration,retain
NUR_RECENTLY_CHANGED_FILES.txt,92488,KEEP_PRODUCT,small repository-owned source or configuration,retain
NUR_WIP_FILE_LIST.txt,975230,KEEP_PRODUCT,small repository-owned source or configuration,retain
QUICKSTART_BOOT.md,1861,KEEP_DURABLE_DOC,bounded product architecture security or release documentation,retain
README.md,5410,KEEP_DURABLE_DOC,bounded product architecture security or release documentation,retain
RUNBOOK.md,1039,KEEP_DURABLE_DOC,bounded product architecture security or release documentation,retain
RUN_NUR.command,119,KEEP_PRODUCT,small repository-owned source or configuration,retain
RUN_NUR.sh,12400,KEEP_PRODUCT,runtime source migration configuration or operations code,retain
SECURITY_NOTES.md,1636,KEEP_DURABLE_DOC,bounded product architecture security or release documentation,retain
START_NUR.desktop,293,KEEP_PRODUCT,small repository-owned source or configuration,retain
START_NUR.sh,2820,KEEP_PRODUCT,small repository-owned source or configuration,retain
apps/api/Dockerfile,877,KEEP_PRODUCT,runtime source migration configuration or operations code,retain
apps/api/alembic.ini,587,KEEP_PRODUCT,runtime source migration configuration or operations code,retain
apps/api/alembic/env.py,1134,KEEP_PRODUCT,runtime source migration configuration or operations code,retain
apps/api/alembic/script.py.mako,468,KEEP_PRODUCT,runtime source migration configuration or operations code,retain
