"requirement_id","source_document","source_line_range","gate","feature","required_behavior","current_files","current_implementation","visible_v197_control","bridge_binding","api_endpoint","service","database_model","migration","authorization_or_rls","worker_or_external_provider","unit_test","integration_test","browser_e2e","runtime_evidence","operational_evidence","current_status","exact_gap","required_fix","acceptance_test","founder_action_required","final_verdict"
"G00-001","MASTERPLAN_V5","19-59","G00_EVIDENCE","Source authority + conflict ledger","Canonical repository identified; every implementation conflict recorded with conflict_id/older/newer/winner/reason","audit-output/*, docs/v6/ (to create)","Prior forensic audit produced 25 reports reconciling 8 lanes; V6 conflict ledger not yet written","","","","","","","","","","","","docs/v6 conflict ledger authored (CONFLICT-001..004)","","PASS","","Write docs/v6/source-authority-report.md, git-lineage-reconciliation.md, conflict ledger","Every conflict has a resolved row; reviewer can trace canonical choice","","PASS"
"G00-002","MASTERPLAN_V5","1243-1249","G00_EVIDENCE","Canonical V197 source identity","Canonical V197 SHA-256 recalculated from actual source before every restoration checkpoint","apps/web/public/v197/NUR_V197_CHECKBOX_TICK_RESTORED.html, scripts/check-v197-integrity.ts","Host hash d4f7f2d3e4c8e36dfc0c6edd51a028f28a04afbc2afa434a319009cb2f122bc6 pinned + enforced by gate","","","","","","","","","npm run v197:integrity","","","FD-001 ratifies d4f7f2d3...; conditions C2-C6 tracked separately under G03","","PASS","","Founder ratifies d4f7f2d3 as the new canonical source hash, or orders restoration of 252eee80","Ratified hash recorded in docs/v6 and enforced by check-v197-integrity","","PASS"
"G00-003","FOUNDER_ORCHESTRATOR_V6","sec 2","G00_EVIDENCE","Prior audit claim verification","Every prior audit claim classified VERIFIED/PARTIAL/STALE/CONTRADICTED/UNPROVEN","docs/v6/audit-claim-verification.csv (to create)","11 claims re-tested this session","","","","","","","","","","","","docs/v6/audit-claim-verification.csv: 14 claims classified","","PASS","","Emit docs/v6/audit-claim-verification.csv","One row per prior claim with command + exit code","","PASS"
"G00-004","STATUS_LEDGER_V5","115","G00_EVIDENCE","Historical archives containing live credentials","Archives with live credentials quarantined and replaced with secret-free versions","(archive outside repo)","Prior audit found 3 distinct live OpenAI keys in archive .env.local/.env (snapshots 04/06/07/08/09); current Git clean","","","","","","","","","","","","","","FOUNDER_ACTION_REQUIRED","Leaked keys not proven rotated; archives not regenerated without dotfiles","Founder rotates the 3 leaked keys; regenerate archive excluding dotfiles","Old keys rejected by provider; regenerated archive passes secret scan","FOUNDER_ACTION_REQUIRED_ROTATE_OPENAI_KEYS","BLOCKED_ON_FOUNDER"
"G00-005","FOUNDER_ORCHESTRATOR_V6","sec 2","G00_EVIDENCE","GitHub/local divergence","Current GitHub and local divergence documented","","public main f265123; PR#5 head 7a56510 OPEN draft; local HEAD 6d7eeef is 1 commit ahead of 7a56510; local work never pushed","","","","","","","","","","","","docs/v6/git-lineage-reconciliation.md written","","PASS","","Record in docs/v6/git-lineage-reconciliation.md","Doc states exact ahead/behind counts per branch","","PASS"
"G00-006","FOUNDER_ORCHESTRATOR_V6","sec 3","G00_EVIDENCE","Non-destructive checkpoint","Pre-edit patches, manifests, STATE.json, GATE_MATRIX, EVIDENCE_INDEX, BLOCKERS, DECISION_LOG preserved","/home/nur/NUR-V5-100-COMPLETION/*","Workspace created; patches empty (clean tree); tracked/untracked manifests captured","","","","","","","","","","","","PRE_EDIT_GIT_STATE.md written at 6d7eeef","","PASS","","","","","PASS"
"G00-007","MASTERPLAN_V5","3691-3729","G00_EVIDENCE","Required repository documents","35 named docs/*.md exist in repository","docs/","24/35 required docs present","","","","","","","","","","","","","","PARTIAL","missing: current-capability-gap-map, memory-learning-consent, adaptive-interface-spec, internet-verification-threat-model, engagement-policy, signal-feed-ranking, privacy-data-retention, moderation-safety-plan, deployment-sre-runbook, test-evaluation-plan, release-evidence","Author the missing documents as real specifications, not stubs","Each named doc exists and describes the implemented contract","","OPEN"
"G01-001","MASTERPLAN_V5","3376","G01_STATIC","Python syntax compile + lint","ruff clean across apps/api","apps/api","","","","","","","","","","ruff check apps/api","","","All checks passed (exit 0) on 6d7eeef","","PASS","","","ruff check apps/api","","PASS"
"G01-002","MASTERPLAN_V5","3376","G01_STATIC","Full backend test suite","All backend tests pass on the candidate","apps/api/app/tests/ (41 files)","","","","","","","","","","pytest -q","","","180 passed in 53.76s, exit 0 on 6d7eeef","","PASS","","","pytest -q","","PASS"
"G01-003","MASTERPLAN_V5","3376","G01_STATIC","Focused RLS / cross-owner tests","Owner vs other-user vs anonymous denial proven","apps/api/app/tests/test_rls.py","","","","","","","","","","pytest test_rls.py","","","Included in the 180-pass run; not yet re-reported as a standalone gate artifact","","PASS","","","pytest test_rls.py","","PASS"
