surface,frontend_entry,client_method,client_path,backend_route,persistence_or_handler,render_owner,contract_status,evidence
Today,"/today","saveTodayCheckIn; completeTodayAction; missTodayAction; makeTodayActionEasier","/today/check-in; /today/complete-action; /today/miss-action; /today/make-easier","/today/check-in; /today/complete-action; /today/miss-action; /today/make-easier","living.py owner-scoped mutations and Glow","v197Hydration + v197Bindings","ALIGNED","Current frontend client and FastAPI routes use matching paths"
Talk,"/talk; /talk/{id}","talk; V197StreamClient.talk; cancel","/cognition/talk; /cognition/talk/stream; /cognition/talk/cancel","/cognition/talk; /cognition/talk/stream; /cognition/talk/cancel; /cognition/talk-runs/{request_id}","cognition.py + streaming.py + durable model runs","v197Hydration + v197StreamClient","ALIGNED_AFTER_B4","Capability and memory fields now explicit in client and send path"
Journal,"/journal; /journal/{id}","createJournal; patchJournal; deleteJournal","/journal; /journal/{id}","/journal; /journal/{id}","cognition.py journal persistence","v197Hydration + v197Bindings","ALIGNED","Owner journal state is hydrated and mutated through API"
Plan,"/plan; /plan/{id}","createPlan; patchPlanStep; patchPlan","/plans; /plan-steps/{id}; /plans/{id}","/plans; /plan-steps/{id}; /plans/{id}","cognition.py plans and steps","v197Hydration + v197Bindings","PARTIAL","Direction edit remains explicitly Track-B disabled"
Systems,"/systems; /systems/{slug}","systems; goals; patchGoal","/systems; /systems/{slug}; /goals; /goals/{id}","/systems; /systems/{system_slug}; /goals; /goals/{goal_id}","living.py systems/goals","v197Hydration","ALIGNED","Six-system catalog is canonical"
Orbit,"/universe/orbits","renderV197Orbit; V197ApiClient.get","/orbit-field; /orbit-entities; /orbit-groups; /orbit-relationships","/orbit-field; /orbit-entities; /orbit-groups; /orbit-relationships; /orbit-layout","orbit_world.py and orbits.py","v197Orbit","ALIGNED","Dedicated route owns one canonical surface"
Map,"/universe/map","renderV197Map; V197ApiClient.get/post","/map; /map/views; /map/*","/map; /map/views; /map/*","map.py and map_workspace.py","v197Map","ALIGNED_WITH_DISABLED_GUIDED_ACTIONS","Owner graph works; several guided drawers remain disabled"
Timeline,"/universe/timeline","renderV197Timeline; V197ApiClient.get/post","/timeline/flow; /timeline/calendar; /timeline/review; /timeline/events","/timeline/flow; /timeline/calendar; /timeline/review; /timeline/events","timeline.py and timeline_workspace.py","v197Timeline","ALIGNED_WITH_DISABLED_GUIDED_ACTIONS","Flow/Calendar/Horizons/Review render; Add/Schedule flows remain disabled"
Insights,"/universe/insights; /universe/insights/candidates","renderV197Insights; candidateInsights","/insights; /insights/{id}/*","/insights; /insights/{insight_id}/*","insights.py and agentic_insights","v197Insights + v197Adjuncts","RECONCILED_PORT","Dedicated Insights surface selectively ported from candidate branch"
Agents,"/agents; /agents/{workflow_id}","agenticWorkflow; createAgenticWorkflow; retryAgenticStep; decideAgenticApproval","/agentic/workflows; /agentic/workflows/{id}; /agentic/workflows/{id}/steps/{step}/retry; /agentic/approvals/{id}/decide","/agentic/workflows; /agentic/workflows/{workflow_id}; /agentic/workflows/{workflow_id}/retry; /agentic/approvals/{approval_id}/decide","agentic.py + lifecycle_service.py + decisions.py","v197Adjuncts","MISMATCH_B2_B3","Frontend retry path and browser EDIT helper require closure"
Memory,"/memory","memories; memoryCandidates; createMemory; approveMemoryCandidate","/memories; /memory-candidates; /memories/{id}; /memory-candidates/{id}/approve","/memories; /memory-candidates; /memories/{memory_id}; /memory-candidates/{candidate_id}/approve","memory.py","v197Adjuncts","ALIGNED","Owner-scoped routes and focused UI proof exist"
