"phase","area","requirement","artifact","status","evidence"
"G17.0","specification","Product spec authored","docs/neural-simulation/product-spec.md","PASS",""
"G17.0","specification","Scientific claims contract with 7 labels and forbidden claims","docs/neural-simulation/scientific-claims-contract.md","PASS",""
"G17.0","specification","Provider interface contract (provider-neutral)","docs/neural-simulation/provider-interface.md","PASS",""
"G17.0","licence","Licence and release policy, fail-closed modes","docs/neural-simulation/license-and-release-policy.md","PASS",""
"G17.0","privacy","Privacy threat model T1-T12","docs/neural-simulation/privacy-threat-model.md","PASS",""
"G17.0","data","Data model for 7 entities with invariants","docs/neural-simulation/data-model.md","PASS",""
"G17.0","ux","V197 UX contract, 16 states, no-fake-data rules","docs/neural-simulation/v197-ux-contract.md","PASS",""
"G17.1","provenance","Official source revision pinned","MODEL_PROVENANCE.json","PASS","af58661791a351a448a489042a28f6c37e1c14b7"
"G17.1","provenance","Official model revision pinned","MODEL_PROVENANCE.json","PASS","f894e783020944dcd96e5568550afe2aa9743f9f"
"G17.1","provenance","All 4 upstream encoder revisions pinned from official config","MODEL_PROVENANCE.json","PASS","Llama-3.2-3B, vjepa2-vitg-fpc64-256, w2v-bert-2.0, dinov2-large"
"G17.1","provenance","Licence verified from primary source","MODEL_PROVENANCE.json","PASS","CC-BY-NC-4.0 in LICENSE and model card"
"G17.1","hardware","GPU/VRAM/RAM/disk/CUDA inventory","RESOURCE_PROFILE.json","PASS","RTX 5090 24GB, 251GB RAM, 26TB free, CUDA 13.3"
"G17.1","hardware","Cold-cache footprint computed before download","RESOURCE_PROFILE.json","PASS","~18.4 GB across 5 repos"
"G17.1","access","Hugging Face access to all encoders incl. gated Llama","RESOURCE_PROFILE.json","PASS","existing token resolves all 5 repos"
"G17.1","environment","Isolated venv outside the NUR API venv","/home/nur/NUR-TRIBE-V2-PROOF/.venv-tribe","PASS","Python 3.12.13"
"G17.1","environment","Torch compatibility empirically tested","RESOURCE_PROFILE.json","PASS","official pin FAILS on sm_120; 2.9.1+cu128 works"
"G17.1","environment","Editable tribev2 installed --no-deps from the official clone","deps-install.log","PASS","imports from /home/nur/NUR-TRIBE-V2/tribev2/__init__.py; clone 0 modified files"
"G17.1","environment","All remaining official dependencies installed","deps-install.log, pin-torch.txt","PASS","exit 0; torch/torchvision held by constraint"
"G17.1","environment","Installed-package integrity verified against pristine wheels","ENV_INTEGRITY_INCIDENT.md","PASS","1118 files compared; 53 corrupted by a 2-line header only; 0 other diffs; repaired, rescan 0/0"
"G17.1","environment","uv cache and 4 sibling venvs still corrupted","ENV_INTEGRITY_INCIDENT.md","FOUNDER_ACTION_REQUIRED","1100 files across 74 distributions in ~/.cache/uv; machine-wide clean not taken unilaterally"
"G17.1","inference","Official model loads from pinned revision","tribe-inference-run.log","PASS","TribeModel.from_pretrained succeeded; checkpoint cache 677 MB vs documented 676 MB"
"G17.1","inference","Real TEXT inference executed","","MISSING","blocked: official text path shells out to uvx whisperx; first attempt died on UV_HTTP_TIMEOUT=30s downloading sentencepiece. Re-running with 600s."
"G17.1","inference","Real AUDIO inference executed","","MISSING","not yet run"
"G17.1","inference","Real VIDEO inference executed","","MISSING","not yet run"
"G17.1","inference","Output shape/mesh/timing validated against contract","","MISSING","requires real inference"
"G17.2","service","Isolated service with provider registry","services/neural-simulation/","MISSING",""
"G17.2","service","DisabledProvider default + licence fail-closed tests","","MISSING",""
"G17.2","service","TribeV2Provider real inference","","MISSING",""
"G17.2","service","ROI summarisation deterministic + unit tested","","MISSING",""
"G17.2","service","Comparison under stated objective","","MISSING",""
"G17.2","service","Cancellation, timeouts, resource bounds","","MISSING",""
"G17.3","backend","Migration for 7 neural_* entities","","MISSING",""
"G17.3","backend","RLS + cross-owner tests per entity","","MISSING",""
"G17.3","backend","16 API routes","","MISSING",""
"G17.3","backend","Object storage, deletion cascade, export","","MISSING",""
"G17.4","v197","Bridge bindings + 16-state surface","","MISSING",""
"G17.4","v197","Cortical Constellation visualization + non-3D fallback","","MISSING",""
"G17.4","v197","Controls registered in the control matrix","","MISSING",""
"G17.5","intelligence","Evidence-bound explanation using the locked key","","MISSING",""
"G17.5","intelligence","Keep/Correct/Reject + NUR surface links","","MISSING",""
"G17.6","hardening","Security, concurrency, checksum mismatch, browser matrix","","MISSING",""
"G17.7","release","Local research E2E + public/paid fail-closed + no weights in ZIP","","MISSING",""
