lane,snapshot,head_sha,branch,bundle_verified,present_in_current_objectstore,ancestor_of_6d7eeef,commits_integrated_on_top,commits_in_lane_not_in_head,integration_mechanism,feature_presence_in_current
integration-baseline,01-NUR-INTEGRATION-20260722,7a56510,integration/nur-one-system-20260722,yes,yes,YES,1,0,direct-ancestor (HEAD=baseline+1 Live-Talk commit),FULL
lane-A-backend,02-NUR-WT-BACKEND,4525110,codex/backend-completion,yes,yes,YES,36,0,merged (ancestor),FULL (billing/intelligence/teach-nur/memory/projects/glow)
lane-B-G10-G15,03-NUR-G10-G15,4ded46c,rescue/lane-b-g13-uncommitted-20260722,yes,yes,NO,45,4,content-integrated via reimplementation commits dfa20bd/28f23e5/72c747c/85883b1,FULL (systems/i18n/community/group-research; migrations renumbered 0022-0024 -> 0027-0029)
fable-final-readiness,04-NUR-FABLE-ROOT,69d1d70,fable/final-readiness-20260720-155600,yes,yes,YES,45,0,merged (ancestor),FULL (V197 frontend)
fable-control-matrix,05-NUR-FABLE-CONTROL-MATRIX,3102b48,fable/v197-control-matrix-20260723,yes,yes,YES,8,0,merged (ancestor),FULL (V197 control matrix)
live-talk-proof,06-NUR-LIVE-TALK-PROOF,33a5dab,detached(+5 modified +proof),yes,yes,YES,12,0,working-tree changes committed as 6d7eeef,FULL (6 files byte-identical to current HEAD)
demo-talk-fixed,07-NUR-DEMO-TALK-FIXED,1682abc,detached,yes,yes,YES,19,0,merged (ancestor),FULL
demo-cousin,08-NUR-DEMO-COUSIN,28f23e5,detached,yes,yes,YES,22,0,merged (ancestor),FULL
older-local,09-NUR-OLDER-LOCAL,n/a (working copy),n/a,n/a,n/a,n/a,n/a,n/a,SUPERSEDED (different product generation: mental-health chatbot),N/A
downloads-source,10-NUR-DOWNLOADS-SOURCE,n/a (working copy),n/a,n/a,n/a,n/a,n/a,n/a,SUPERSEDED (pre-lane generation of current product),N/A
