claim_id,prior_claim,verification_command,observed_result,classification,note
AC-01,"180 backend tests passed","apps/api: pytest -q","180 passed in 53.76s, exit 0",VERIFIED,"A first run showed 2 rate-limit failures caused by a concurrent duplicate pytest process sharing the same Redis and test database; re-run alone is clean. Suite is not concurrency-safe against a shared Redis."
AC-02,"63 frontend unit tests passed","npm run web:test","16 files / 63 tests passed",VERIFIED,""
AC-03,"17 Talk-critical DB tests passed","(subset of full run)","not re-reported as a standalone artifact",PARTIAL,"Covered inside the 180-pass run but no separate Talk-critical gate artifact exists."
AC-04,"ruff clean","apps/api/.venv/bin/ruff check apps/api","All checks passed, exit 0",VERIFIED,""
AC-05,"typecheck clean","npm run web:typecheck","exit 0, no diagnostics",VERIFIED,""
AC-06,"single Alembic head 0030","alembic heads","0030_project_execution_storage (head)",VERIFIED,""
AC-07,"secret scan clean","npm run secret-scan","PASS - no OpenAI key, bearer token, or key assignment pattern",VERIFIED,"Applies to current Git only. Historical archives still contain 3 live keys - see blocker B2."
AC-08,"6d7eeef byte-identical to the six proven Live-Talk files","prior forensic audit file ledger","not re-hashed this session",UNPROVEN,"Prior audit evidence; not re-derived on this candidate."
AC-09,"Personal Memory, Teach NUR and Billing not fully reachable from V197","docs/release/v197-control-matrix.json","no control entry exists for any of the three",VERIFIED,"Classified BACKEND_ONLY in REQUIREMENT_MATRIX rows G03-008, G03-009, G03-010."
AC-10,"Playwright suite not fully executed","(none run)","still not executed on this candidate",VERIFIED,"33 spec files present; zero executed on 6d7eeef."
AC-11,"live secrets existed in historical archives","prior forensic audit","3 distinct live OpenAI keys in snapshots 04/06/07/08/09",VERIFIED,"Rotation not proven - blocker B2. Key values never printed."
AC-12,"canonical V197 SHA-256 is 252eee80...","sha256sum apps/web/public/v197/NUR_V197_CHECKBOX_TICK_RESTORED.html","d4f7f2d3e4c8e36dfc0c6edd51a028f28a04afbc2afa434a319009cb2f122bc6",CONTRADICTED,"Commit f8ddd7a (2026-07-18) rebuilt the canonical host after the plan lock. The pre-rebuild blob hashes to exactly 252eee80. See CONFLICT-001 / blocker B1."
AC-13,"interaction registry 45 total (33 WIRED / 7 SOURCE_NATIVE / 5 HONEST_DISABLED)","docs/release/v197-control-matrix.json","90 controls: 73 LIVE_REAL, 8 INTENTIONAL_LOCAL_ONLY, 7 NOT_IMPLEMENTED_VISIBLE, 2 BLOCKED_BY_EXTERNAL_PROVIDER, 0 BROKEN",STALE,"Different, later artifact with a different vocabulary. Its generated_from_sha is 33a5dab, not 6d7eeef, so it is stale for this candidate and must be regenerated."
AC-14,"AUTH_PRESENTATION_PASS (serial 15/15, parallel 15/15, 4 real cycles)","(browser suite not run)","not reproduced on this candidate",UNPROVEN,"Backend auth legs pass; the browser gate must be re-run on 6d7eeef before any release claim."
