category,baseline_v197,slice1_round1,slice1_round3,target,verdict,evidence,note
originality,3,2,3,>=4,FAIL,proof/v8-baseline vs proof/v8-candidate,"Round 3 restores an authored form — the NUR cortex/cerebellum/brainstem cloud — instead of a generic scatter. Still short of 4: the mass reads as a star cluster rather than an unmistakable brain."
signature_silhouette,4,1,3,>=3,PASS,systems-1920x1080.png,"The anatomy is present and unit-tested (fissure separates hemispheres, cerebellum low and rear, stem descends). Legible as a structured mass, not yet as crisp in silhouette as the baseline."
depth,2,2,4,>=4,PASS,systems-1920x1080.png,"Three planes differing in parallax, size, brightness and colour temperature; hero depth-sorted with atmospheric perspective; near plane composites in front of the hero."
camera_choreography,1,2,2,>=3,FAIL,no motion capture yet,"NUCLEATE on mount, FOCUS on node focus, slow deliberate revolution, no idle wobble. No establishing shot, no route continuity. The 20-30s sequence is not yet captured."
material_quality,3,2,3,>=3,PASS,systems-1920x1080.png,"Spectral palette carried over, additive compositing, glow and core sprite layers, depth-shaded. No fresnel or rim term yet."
particle_behaviour,3,2,4,>=3,PASS,NeuralCloud.assignSystems,"Points organise around a semantic structure: each System owns a contiguous cortex region that resolves on focus while siblings recede. Fields are pushed outside the hero silhouette so they frame rather than dissolve it."
typographic_direction,4,4,4,>=3,PASS,systems-1920x1080.png,"Unchanged canonical Bodoni Moda over Crimson Pro; the stage did not damage it."
scene_continuity,1,1,1,>=4,FAIL,route capture,"Still only one scene. Leaving the route destroys the world rather than transforming it. Slices 2-5 not started."
data_meaning,2,4,4,>=3,PASS,proof/v8-candidate/binding-diagnostic.json,"7/7 Systems bound; orbital radius, node radius and satellites from real progress figures; arcs only where orbit_id genuinely matches; no-data renders hollow."
interaction_quality,3,4,4,>=3,PASS,slice1-metrics.json,"All seven canonical buttons bound; pointer and keyboard share one focus state; canonical controls untouched."
mobile_art_direction,2,2,3,>=3,PASS,430x932/390x844/360x800 stills,"Mobile drops the near plane entirely and lowers hero population via the quality tier — a different composition, not a scaled desktop. Still not a separately art-directed layout."
performance_discipline,1,4,4,>=3,PASS,slice1-metrics.json,"One canvas owner, one cancellable loop, deterministic teardown, sprite atlas, adaptive tier, render-failure guard."
accessibility_equivalence,3,4,4,>=3,PASS,binding-diagnostic.json,"All seven canonical buttons carry aria-describedby to verbatim figures including the progress formula; telemetry is screen-reader-only so nothing is duplicated visually."
nur_identity,4,2,4,>=4,PASS,systems-1920x1080.png,"The NUR star-brain is the hero object again, generated from the founder-approved anatomy, now with lifecycle discipline the original never had."
