feature,source_files,API,database_model,migration,V197_control,bridge_binding,real_test,current_status,missing_work,external_dependency
source integrity,"scripts/check-v197-integrity.ts; infra/scripts/check-v197-integrity.sh; docs/release/v197-control-matrix.json",n/a,n/a,n/a,"canonical V197 host","v197Bridge.ts","npm run v197:integrity; v197-control-matrix.spec.ts",PARTIAL,"Regenerate a non-stale matrix and prove final clean SHA",none
cold boot,"RUN_NUR.sh; infra/scripts/bootstrap-dev.sh; infra/scripts/start-nur.sh",/healthz,/readyz,n/a,n/a,"entry and shell boot","v197Bridge.ts","test_health.py; boot-smoke.sh",PARTIAL,"Fresh-extract exact-SHA boot and package smoke",host runtime
authentication,"app/api/v1/auth.py; app/services/auth_service.py","/auth/register; /auth/login; /auth/logout; /auth/me","User; Session; Profile","0001; 0002","Entry signup and signin","v197Auth.ts; v197Bridge.ts","test_auth.py; fresh-signup.spec.ts; presentation-auth-recovery.spec.ts",PASS,,none
password recovery,"app/api/v1/password_recovery.py; app/services/password_delivery.py","/auth/password/forgot; /reset; /change","PasswordResetToken; Session","0022","signin recovery chamber","v197Auth.ts","test_password_recovery.py; presentation-auth-recovery.spec.ts",EXTERNAL_BLOCKED,"Production delivery proof","transactional email provider and verified sender"
sessions and CSRF,"app/api/deps.py; app/core/security.py","authenticated mutation dependencies","Session","0001; 0002","session-aware canonical shell","v197ApiClient.ts","test_auth.py; test_rls.py",PASS,,none
owner isolation and RLS,"app/db/rls.py; forced-RLS migrations","all owner-scoped APIs","owner_user_id models","0002 through 0031","private Orbit boundaries","v197ApiClient.ts","test_rls.py plus cross-owner domain tests",PASS,,none
Talk and OpenAI,"app/api/v1/cognition.py; app/cognition","/cognition/talk; /talk/stream","CognitionEvent; TalkRun","0003; 0005; 0021","Talk composer","v197Actions.ts; v197StreamClient.ts","test_cognition.py; test_ai_provider_failures.py; talk.spec.ts",EXTERNAL_BLOCKED,"Two genuine model replies on final SHA","valid server-side OpenAI credential and model access"
stream cancellation persistence,"app/cognition/streaming.py; app/api/v1/cognition.py","/talk/stream; /talk-runs/{id}/cancel; /talk-thread","TalkRun; CognitionEvent","0021","Talk thread and cancel state","v197StreamClient.ts","test_cognition_streaming.py; talk-persistence.spec.ts",PARTIAL,"Cancellation-race and cross-worker durable stream proof",none
Today,"app/api/v1/living.py; app/living/service.py","/today; /today/check-in","TodayCheckin; SystemAction","0012; 0031","Today page","v197Hydration.ts; v197Actions.ts","test_sol_living_system.py; visual-readiness.spec.ts",PASS,,none
Journal,"app/api/v1/cognition.py","/journal","CognitionEvent","0003","Journal page","v197Hydration.ts; v197Actions.ts","test_cognition.py; v197-control-matrix.spec.ts",PASS,,none
Plan,"app/api/v1/cognition.py; app/api/v1/living.py","/plans; /plan-steps","Plan; PlanStep","0003; 0012","Plan page","v197Hydration.ts; v197Actions.ts","test_product_surfaces.py; track-a-sellable.spec.ts",PARTIAL,"Implement or deliberately remove edit-direction control",none
Systems,"app/living/catalog.py; app/api/v1/living.py","/systems; /systems/{slug}","LivingSystem; SystemAction","0012; 0031","Six-Star Systems field","v197Hydration.ts; v197StarBrain.ts","test_sol_living_system.py; visual-readiness.spec.ts",PASS,,none
Map,"app/api/v1/map.py","/map; /universe/map-summary","MapNode; MapEdge","0013; 0015","Map lens","v197Hydration.ts","test_sol_contract_routes.py; universe-lenses.spec.ts",PASS,,none
Orbits,"app/api/v1/orbits.py","/orbits; /universe/orbits-summary","Orbit; OrbitMember","0001; 0015","Orbits lens","v197Hydration.ts","test_live_intelligence.py; universe-lenses.spec.ts",PASS,,none
Timeline,"app/api/v1/timeline.py","/timeline; /universe/timeline","TimelineEvent","0012; 0015","Timeline lens","v197Hydration.ts","test_sol_contract_routes.py; universe-lenses.spec.ts",PASS,,none
Insights,"app/api/v1/insights.py","/insights; /universe/insights-summary","Insight","0015","Insights lens and review actions","v197Hydration.ts; v197Actions.ts","test_live_intelligence.py; universe-lenses.spec.ts",PASS,,none
Research,"app/api/v1/group_research.py; app/api/v1/product_surfaces.py","/research/*; /research-drafts","ResearchJob; ResearchSource; ResearchClaim","0010; 0029","Research lens","v197Hydration.ts; v197Adjuncts.ts","test_group_research_completion.py",PARTIAL,"Complete job/watchlist UI and live retrieval boundary","lawful research provider"
Web Signals,"app/api/v1/product_surfaces.py","/web-signals/*","WebWatchlist; WebSignalAlert; WebSignalNote","0010","Web Signals lens","v197Hydration.ts","test_product_surfaces.py",PARTIAL,"Complete alert management and provider-neutral live retrieval","lawful web retrieval provider"
Community,"app/api/v1/community*.py","/community/*","CommunityRoom; Post; Comment; Reaction; Moderation models","0016; 0017; 0028","Community lens and adjunct","v197Hydration.ts; v197Adjuncts.ts","test_community_completion.py; community-group-nur.spec.ts",PARTIAL,"Complete people saved moderation surfaces and realtime gateway",none
Rooms,"app/api/v1/community.py; app/api/v1/community_social.py","/community/rooms/*","CommunityRoom; Membership; Message; Post","0016; 0028","Room adjunct","v197Adjuncts.ts","test_community_completion.py; community-group-nur.spec.ts",PASS,,none
Group NUR,"app/api/v1/community.py; app/api/v1/group_research.py","/rooms/{id}/positions; /decision; /syntheses","CouncilPosition; CouncilDecision; GroupSynthesis","0016; 0018; 0029","Consultation stage and Council controls","v197Hydration.ts; v197Actions.ts","test_group_nur.py; test_group_research_completion.py",PASS,,none
Consultations,"app/api/v1/consultations.py","/consultations/*","Consultation; Contribution","0019","Consultation adjunct","v197Adjuncts.ts","test_consultations.py; v197-adjuncts.spec.ts",PASS,,none
Projects,"app/api/v1/projects.py","/projects/*","AMProject","0014; 0030","Projects adjunct","v197Adjuncts.ts","test_am_projects.py; project-deliverables.spec.ts",PARTIAL,"Complete settings insights and share surfaces",none
tasks,"app/api/v1/projects.py","/projects/{id}/tasks; /projects/tasks/{id}","AMProjectTask","0014","Project tasks tab","v197Adjuncts.ts","test_am_projects.py; project-deliverables.spec.ts",PASS,,none
files,"app/api/v1/projects.py; app/services/object_storage.py","/projects/{id}/files; download; verify; delete","AMProjectFile","0030","Deliverables panel","v197Adjuncts.ts","test_am_project_storage.py; test_storage_hygiene.py; project-deliverables.spec.ts",PASS,,none
agent runs,"app/api/v1/projects.py; app/services/project_execution.py","/projects/{id}/agents; /runs/*","AMProjectAgent; AMProjectRun; Artifact","0014; 0030","Agents and runs tabs","v197Adjuncts.ts","test_am_project_execution.py; test_am_project_recovery.py",PARTIAL,"Broaden bounded capability registry and recovery proof without implying autonomy",none
Context Capsules,"app/api/v1/capsules.py","/capsules/*","Capsule; CapsuleGrant; CapsuleAudit","0004","recipient capsule adjunct","v197Adjuncts.ts","test_capsules.py; capsule.spec.ts",PARTIAL,"Add canonical owner create review grant audit revoke delete flow",none
Personal Memory,"app/api/v1/memory.py","/memories; /memory-candidates","PersonalMemory; MemoryCandidate","0023",none,"API client only","test_personal_memory.py",PARTIAL,"Add canonical V197 list search provenance correct retire delete export surface",none
