ID,PHASE,TASK,REQUIREMENT,SOURCE_SECTION,CURRENT_IMPLEMENTATION,CURRENT_TEST,CURRENT_EVIDENCE,EXACT_SHA,STATUS,APPLICABLE_TO_CURRENT_RELEASE,SUPERSESSION,BLOCKER_TYPE,NEXT_ACTION,CATEGORY
A1,A,Environment and Git truth,Environment and Git truth,MANUS_COMPLETION_LEDGER.csv,/home/ubuntu/NUR---Latest; /home/ubuntu/NUR-completion-worktree,git status; git rev-parse; git worktree list; migration inventory; gh pr list,"Phase-A capture: clean canonical main, exact SHA, worktrees, migration chain, branches, PR inventory",d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,None,IMPLEMENTATION
A2,A,Resolve candidate repo's own ahead branch,Resolve candidate repo's own ahead branch,MANUS_COMPLETION_LEDGER.csv,origin/fix/v197-interactive-celestial-20260813; docs/completion/MANUS_PHASE_A_BRANCH_RECONCILIATION.md,git diff review; targeted V197 tests; typecheck; build; integrity,File-by-file classification recorded and approved unique V197 improvements selectively ported,d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,Insights route ownership and broader contract reconciliation continue in Phase B,IMPLEMENTATION
A3,A,Create isolated canonical integration worktree,Create isolated canonical integration worktree,MANUS_COMPLETION_LEDGER.csv,/home/ubuntu/NUR-completion-worktree,git worktree list; clean status,Dedicated worktree created from origin/main,d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,None,IMPLEMENTATION
A4,A,Donor inventory,Donor inventory,MANUS_COMPLETION_LEDGER.csv,numstat,and per-file classification captured,Ahead branch file inventory,PASS,NOT_PROVEN,YES,,ef86827abd5c2fa701d24ab3df9cb6c1edb9131c,ef86827abd5c2fa701d24ab3df9cb6c1edb9131c,IMPLEMENTATION
A5,A,Public-safety audit,Public-safety audit,MANUS_COMPLETION_LEDGER.csv,direct worker transport,duplicate React root,Secret scan passed; no direct browser provider,or second Three.js renderer in candidate diff,NOT_PROVEN,YES,,secret-scan.sh; direct-provider/runtime grep,secret-scan.sh; direct-provider/runtime grep,IMPLEMENTATION
B1,B,Generate current route/client contract matrix,Generate current route/client contract matrix,MANUS_COMPLETION_LEDGER.csv,docs/completion/MANUS_ROUTE_CLIENT_CONTRACT_MATRIX.csv,manual source reconciliation; exact backend route reads,Current route/client/server/persistence/render matrix records 27 owner and P0 contract rows,d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,None,IMPLEMENTATION
B2,B,Fix Agent retry mismatch,Fix Agent retry mismatch,MANUS_COMPLETION_LEDGER.csv,apps/web/src/bridge/v197ApiClient.ts; apps/web/src/bridge/v197Adjuncts.ts; apps/web/src/v197/agentic-contract.test.ts,typecheck; 1 browser-contract unit test green,Frontend now calls the authoritative immutable workflow-level retry route with request_id and seen_plan_version,d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,None,IMPLEMENTATION
B3,B,Expose Approval EDIT,Expose Approval EDIT,MANUS_COMPLETION_LEDGER.csv,apps/web/src/bridge/v197ApiClient.ts; apps/web/src/bridge/v197Adjuncts.ts; apps/web/src/v197/agentic-contract.test.ts,typecheck; 1 browser-contract unit test green; existing agentic unit suite 16 tests green,Agent approval UI exposes Edit arguments and Submit edited call; client sends EDIT plus owner-visible edited_arguments and binding fields,d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,Full live HTTP/worker EDIT proof remains a later release gate,IMPLEMENTATION
B4,B,Add capability_id and memory_mode to streaming Talk client,Add capability_id and memory_mode to streaming Talk client,MANUS_COMPLETION_LEDGER.csv,apps/web/src/bridge/v197StreamClient.ts; apps/web/src/bridge/v197ApiClient.ts; apps/web/src/bridge/v197Bindings.ts; apps/web/src/v197/stream-client.test.ts,typecheck; stream-client suite 3 tests green,Stream and sync client payloads plus canonical Talk send path now carry capability_id and memory_mode,d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,Full-stack SSE/reload proof remains B6/C1,IMPLEMENTATION
B5,B,OpenAPI drift gate,OpenAPI drift gate,MANUS_COMPLETION_LEDGER.csv,infra/scripts/check_openapi_drift.py; infra/scripts/test_check_openapi_drift.py; package.json; .github/workflows/readiness.yml,3 unittest cases; live gate 144 client operations vs 420 OpenAPI operations with zero missing,Client operation extraction now normalizes parameters and explicit finite action unions against FastAPI OpenAPI; readiness CI enforces it,d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,None,IMPLEMENTATION
